Index,District,League,Sport,1 Gm,2 Gm,Tour,1 Yr,Coach,Total,NumSchools,DQ per School
0,1,Pioneer Valley,BASKETBALL-JV BOYS,0,1,0,0,1,2,52,0.038461538
1,1,Pioneer Valley,BASKETBALL-V BOYS,1,0,0,0,0,1,52,0.019230769
2,1,Pioneer Valley,BASKETBALL-V GIRLS,0,1,0,0,0,1,52,0.019230769
3,1,Pioneer Valley,FOOTBALL-V,1,5,0,0,0,6,52,0.115384615
4,1,Pioneer Valley,Ice Hockey-V BOYS,3,2,0,0,0,5,52,0.096153846
5,1,Pioneer Valley,SOCCER-JV BOYS,2,0,0,1,0,3,52,0.057692308
6,1,Pioneer Valley,SOCCER-V BOYS,14,4,0,0,1,19,52,0.365384615
7,1,Pioneer Valley,SOCCER-V GIRLS,2,1,0,0,0,3,52,0.057692308
8,1,Pioneer Valley,SWIMMING-GIRLS,1,0,0,0,0,1,52,0.019230769
10,1,Berkshire County,BASKETBALL-JV BOYS,1,0,0,0,0,1,11,0.090909091
11,1,Berkshire County,FOOTBALL-V,0,1,1,0,0,2,11,0.181818182
12,1,Berkshire County,SOCCER-V BOYS,6,1,1,0,1,9,11,0.818181818
13,1,Berkshire County,SOCCER-V GIRLS,1,0,0,0,0,1,11,0.090909091
15,2,Colonial Athletic,Ice Hockey-V BOYS,1,0,0,0,0,1,9,0.111111111
16,2,Colonial Athletic,SOCCER-V BOYS,1,0,0,0,0,1,9,0.111111111
18,2,South Worcester County A,BASKETBALL-V BOYS,1,0,0,0,0,1,4,0.25
19,2,South Worcester County A,FOOTBALL-V,0,0,0,0,1,1,4,0.25
20,2,South Worcester County A,Ice Hockey-V BOYS,2,0,0,0,0,2,4,0.5
21,2,South Worcester County A,SOCCER-JV BOYS,1,0,0,0,0,1,4,0.25
22,2,South Worcester County A,SOCCER-V BOYS,2,0,0,0,0,2,4,0.5
24,2,South Worcester County B,BASKETBALL-V BOYS,0,6,0,0,0,6,4,1.5
26,2,Dual Valley,FIELD HOCKEY-V,0,0,1,0,0,1,6,0.166666667
27,2,Dual Valley,Ice Hockey-V BOYS,1,0,0,1,0,2,6,0.333333333
28,2,Dual Valley,SOCCER-V BOYS,2,1,0,0,0,3,6,0.5
30,2,Inter High,BASKETBALL-JV BOYS,0,0,0,0,2,2,6,0.333333333
31,2,Inter High,BASKETBALL-V GIRLS,1,0,0,0,0,1,6,0.166666667
32,2,Inter High,FOOTBALL-V,1,1,0,0,0,2,6,0.333333333
33,2,Inter High,Ice Hockey-V BOYS,0,1,0,0,0,1,6,0.166666667
34,2,Inter High,SOCCER-V BOYS,1,0,0,0,0,1,6,0.166666667
35,2,Inter High,SOCCER-V GIRLS,2,0,0,0,0,2,6,0.333333333
37,2,South Worcester County C,BASKETBALL-JV BOYS,1,0,0,0,0,1,4,0.25
38,2,South Worcester County C,FOOTBALL-V,1,2,0,0,0,3,4,0.75
39,2,South Worcester County C,SOCCER-V BOYS,1,0,0,0,0,1,4,0.25
40,2,South Worcester County C,SOCCER-V GIRLS,1,0,0,0,0,1,4,0.25
42,2,Central Mass,Ice Hockey-V BOYS,3,0,0,1,0,4,3,1.333333333
44,3,Midland Wachusett Div A,FOOTBALL-V,1,0,0,0,0,1,6,0.166666667
